transition_hour,number_of_passenger
0,50.21302325581395
1,67.60590631364562
2,33.68292682926829
3,23.149842271293377
4,16.806015037593983
5,35.77950713359274
6,226.5698437313611
7,591.4400498287138
8,631.1652868125369
9,384.0248692391197
10,303.0920538852011
11,314.76324646600636
12,361.6973486273035
13,403.4724889217134
14,425.1294806144843
15,495.17992200961277
16,540.2841238233165
17,638.311501884084
18,722.4111879541276
19,576.8299513359655
20,376.3116147308782
21,284.39287919324966
22,278.2924255886273
23,191.69664811699238
